image,K,cluster,pixel_count,area_pct,L_mean,L_median,L_sd,L_iqr,a_mean,a_median,a_sd,a_iqr,b_mean,b_median,b_sd,b_iqr,C_mean,C_median,hue_mean_deg,hue_median_deg
SAM_2648.JPG,3,0,920557,5.780487688480581,42.2196044921875,42.74509811401367,3.555476665496826,4.313724517822266,22.95564842224121,22.0,4.898326873779297,7.0,37.5380744934082,38.0,2.5043652057647705,3.0,44.211002349853516,43.863426208496094,58.78749084472656,59.534454345703125
SAM_2648.JPG,3,1,205328,1.2893237204218106,49.7868537902832,50.98039245605469,7.772209644317627,10.196075439453125,3.150783061981201,3.0,3.644068956375122,6.0,10.267411231994629,12.0,8.028958320617676,14.0,12.15078067779541,13.416407585144043,41.32733154296875,70.5599594116211
SAM_2648.JPG,3,2,542962,3.4094414102687756,47.397560119628906,47.8431396484375,4.658226490020752,4.705883026123047,12.173765182495117,12.0,3.3076767921447754,4.0,29.258596420288086,30.0,4.634403705596924,7.0,31.807924270629883,32.572994232177734,67.5386734008789,67.75096893310547
SAM_2649.JPG,3,0,768392,4.824992364326132,46.90670394897461,47.45098114013672,3.3720693588256836,3.5294113159179688,13.171138763427734,13.0,2.4496893882751465,4.0,29.87162971496582,30.0,3.33494234085083,5.0,32.69621276855469,32.69556427001953,66.2912368774414,66.57130432128906
SAM_2649.JPG,3,1,580180,3.6431457770704734,42.81604766845703,43.13725662231445,3.5686166286468506,4.313728332519531,22.614023208618164,22.0,5.1794843673706055,6.0,37.133060455322266,37.0,2.5434181690216064,4.0,43.672462463378906,42.72002029418945,58.962100982666016,59.743560791015625
SAM_2649.JPG,3,2,394291,2.4758860898116,48.21357727050781,49.411766052246094,5.888433456420898,6.274509429931641,6.876760959625244,7.0,2.9798340797424316,4.0,16.993154525756836,18.0,5.711375713348389,6.0,18.59990119934082,19.92485809326172,64.41876983642578,68.1985855102539
SAM_2650.JPG,3,0,901622,5.6615884411972734,43.639183044433594,43.92156982421875,3.168017864227295,4.313728332519531,26.47454071044922,25.0,5.656175136566162,8.0,40.627323150634766,41.0,2.2419469356536865,3.0,48.69694519042969,48.02082824707031,57.230506896972656,58.10920333862305
SAM_2650.JPG,3,1,793312,4.981473443930041,47.47483825683594,47.8431396484375,3.810927629470825,3.9215660095214844,14.665080070495605,15.0,3.186370849609375,5.0,33.1537971496582,34.0,4.381344318389893,6.0,36.31886672973633,37.161808013916016,66.29461669921875,66.57130432128906
SAM_2650.JPG,3,2,152461,0.9573540079250257,46.73518753051758,46.27450942993164,7.416811466217041,9.411762237548828,2.097100257873535,1.0,4.432331562042236,8.0,12.239956855773926,11.0,6.6916022300720215,13.0,13.012171745300293,11.180339813232422,89.67323303222656,83.65980529785156
SAM_2651.JPG,3,0,824557,5.17767133045589,46.71063232421875,47.05882263183594,3.7221028804779053,3.137256622314453,15.428464889526367,16.0,3.0206704139709473,4.0,33.03169631958008,34.0,4.273337364196777,5.0,36.52781677246094,37.57658767700195,65.04846954345703,65.224853515625
SAM_2651.JPG,3,1,881283,5.533873004677855,41.99406051635742,42.352943420410156,3.362478494644165,5.0980377197265625,25.928585052490234,25.0,4.609703540802002,7.0,39.11118698120117,39.0,2.1075971126556396,2.0,47.09418487548828,47.01063537597656,56.655181884765625,57.2647705078125
SAM_2651.JPG,3,2,107919,0.6776597764756944,47.079139709472656,48.6274528503418,8.581507682800293,13.333335876464844,2.3410706520080566,1.0,4.244665145874023,7.0,8.498503684997559,7.0,8.243066787719727,16.0,10.04785442352295,7.071067810058594,64.80006408691406,75.96375274658203
SAM_2652.JPG,3,0,835424,5.245908886316872,48.69486618041992,49.01960754394531,3.7734878063201904,3.5294113159179688,12.641040802001953,13.0,2.612598180770874,3.0,30.71257209777832,31.0,3.3896706104278564,5.0,33.2962646484375,33.541019439697266,67.66278839111328,67.61985778808594
